"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000211897.3",22537.2994857806,-5.40953265298832,0.95850353823108,-5.64372737003311,1.66407511807755e-08,4.88600779350429e-06,NA,NA
"ENSG00000211651.2",1269.07800287295,-5.9938367302585,1.06511904573871,-5.6273866796753,1.82960279846025e-08,5.31547760394768e-06,NA,NA
"ENSG00000187990.4",200.447287493007,-4.41569678659193,0.785465361307442,-5.62175877398566,1.89023087067809e-08,5.37907233938252e-06,NA,NA
"ENSG00000211625.2",210.173041535256,-5.85048485335937,1.04068992081228,-5.62173682703963,1.89047107579748e-08,5.37907233938252e-06,NA,NA
"ENSG00000225698.2",73.4263103937865,-5.68701322201255,1.01210862318566,-5.61897516900151,1.92093458589975e-08,5.40997903784012e-06,NA,NA
"ENSG00000270356.1",18.0830307263908,-6.11783349116667,1.09175548136591,-5.6036663846309,2.09864466418937e-08,5.85076694258854e-06,NA,NA
"ENSG00000239819.1",52.0155289225527,-6.12541539428274,1.09726047045715,-5.58246246830591,2.37136794807523e-08,6.54497553668765e-06,NA,NA
"ENSG00000223648.2",68.2490147410836,-5.85369024462462,1.04990756558243,-5.57543391105799,2.46913634676522e-08,6.7473428881901e-06,NA,NA
"ENSG00000232216.1",140.022369295394,-5.78001691525094,1.03728791720305,-5.57223970258538,2.51485073625998e-08,6.804890227527e-06,NA,NA
"ENSG00000226777.3",437.958762034046,-4.91357603714352,0.882794643479306,-5.56593322516994,2.60753089153899e-08,6.98717015596856e-06,"FAM30A","9834"
"ENSG00000211619.2",65.42722961211,-7.81824322163546,1.40614949510496,-5.56003700093913,2.69717462268661e-08,7.09056775216194e-06,NA,NA
"ENSG00000211595.2",1185.86017010388,-4.91987362788367,0.8850864538595,-5.55863622861937,2.71890701279963e-08,7.09056775216194e-06,NA,NA
"ENSG00000258967.1",39.2646441995365,-1.96955091108453,0.354340196849856,-5.55836150849994,2.72318906423611e-08,7.09056775216194e-06,NA,NA
