"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000119408.12",1132.83729509512,-0.661179657521718,0.219931458743683,-3.00629869550533,0.00264449087474988,0.0185386914697287,"NEK6","10783"
"ENSG00000235954.2",1443.78206762823,-0.543485900997775,0.180785165977089,-3.00625274236633,0.00264489058473137,0.0185386914697287,"TTC28-AS1","284900"
"ENSG00000196497.11",2553.6253698237,0.631019485462909,0.209911953704312,3.00611506075439,0.00264608849870454,0.0185406786561868,"IPO4","79711"
"ENSG00000145996.7",774.596248522178,0.305609408272719,0.101664016673435,3.00607253453695,0.00264645860295855,0.0185406786561868,"CDKAL1","54901"
"ENSG00000272301.1",58.5443625810253,-1.20144186443434,0.399678681655912,-3.00601938401278,0.00264692123672475,0.0185406786561868,NA,NA
"ENSG00000160229.7",123.4915692811,-0.633667430493039,0.210817413157773,-3.00576418713008,0.00264914355582897,0.0185521632739487,"ZNF66","7617"
"ENSG00000167969.8",4377.55533347272,0.522126334461422,0.173776701305175,3.00458191771346,0.00265946132614866,0.0186203234614622,"ECI1","1632"
"ENSG00000143153.8",19179.9309202614,0.759563150162251,0.252817263511582,3.00439590086559,0.00266108805165992,0.0186276163616194,"ATP1B1","481"
"ENSG00000232747.2",2.2047109183948,-4.60857151281909,1.53420033054728,-3.00389161771013,0.00266550260559877,0.0186544165644851,NA,NA
"ENSG00000198300.8",1196.87927789656,0.611923008812143,0.203741961227293,3.00342160802844,0.00266962315082474,0.0186791478306938,"PEG3","5178"
"ENSG00000271377.1",1.25798052911996,-3.37077371402408,1.122378832236,-3.00324063249558,0.00267121130364703,0.0186861531669758,NA,NA
"ENSG00000112679.10",3953.37402180329,-0.470724172090699,0.156749192384182,-3.00304049373974,0.00267296862896073,0.0186943385921779,"DUSP22","56940"
"ENSG00000198597.4",285.634187563306,0.83488979030798,0.278029466270714,3.00288239770622,0.00267435754357482,0.0186999443789256,"ZNF536","9745"
"ENSG00000235602.4",40.8511538877886,-0.846330509039236,0.281887146472982,-3.00237353717139,0.00267883249438285,0.0187271214956461,"POU5F1P3","642559"
"ENSG00000227999.1",15.1572918006323,-1.28046334221945,0.426497494700935,-3.00227635127687,0.00267968793097866,0.0187289890166052,NA,NA
"ENSG00000101292.6",1.95785590938387,-4.18547259145848,1.39456295337727,-3.00127906117278,0.00268848057957163,0.0187828539658167,"PROKR2","128674"
"ENSG00000095464.9",47.4759362731437,-0.717888746413208,0.239195117349275,-3.00126839698379,0.00268857474312812,0.0187828539658167,"PDE6C","5146"
"ENSG00000105610.4",5.26887176708173,-1.386826175404,0.462128832190902,-3.00095142047123,0.00269137498561813,0.0187982918038918,"KLF1","10661"
"ENSG00000261083.1",14.0530166011104,1.30598784315225,0.435305859183379,3.00016141662382,0.00269836566161442,0.01884298512901,"LINC02516","101927087"
"ENSG00000128641.13",3814.27430953191,0.514615291948682,0.171556219710696,2.99968892306269,0.002702554641872,0.0188680985918064,"MYO1B","4430"
"ENSG00000240440.1",2.12657417087273,-2.90524599032394,0.968559722671652,-2.99955276099049,0.00270376291471705,0.018872395560827,NA,NA
"ENSG00000125531.5",33.125713854561,-1.17144671069383,0.39057252014748,-2.99930653147716,0.00270594915575535,0.0188835154148679,"FNDC11","79025"
"ENSG00000050130.13",1826.5164819983,0.367268679582264,0.122461733839219,2.99904850330189,0.00270824188877547,0.0188953733883533,"JKAMP","51528"
"ENSG00000197496.4",2628.71025502351,0.521558584022291,0.17395147457251,2.99829929757155,0.00271490908804984,0.0189331139231108,"SLC2A10","81031"
"ENSG00000150995.13",7634.59387371194,0.563593289418309,0.18797301619672,2.99826698970713,0.00271519693349952,0.0189331139231108,"ITPR1","3708"
"ENSG00000119396.6",6992.50851801461,0.270152656545254,0.0901037392308725,2.99824023787784,0.00271543529881027,0.0189331139231108,"RAB14","51552"
"ENSG00000233478.1",26.8345649274171,-1.50442213662122,0.501805224459393,-2.99802007490451,0.00271739773078224,0.0189426481622911,NA,NA
"ENSG00000236901.3",1562.54570145829,-0.516476291849148,0.172282898665081,-2.99783841490374,0.00271901794049301,0.0189497931597057,"MIR600HG","81571"
"ENSG00000103742.7",1723.71902188872,0.791852117148165,0.264218233141472,2.99696242660203,0.00272684320077002,0.0190001707462715,"IGDCC4","57722"
"ENSG00000115084.8",3030.26700496508,0.481408113349279,0.160639992417024,2.99681359607846,0.00272817475654112,0.019001512664516,"SLC35F5","80255"
"ENSG00000117318.8",12354.4939809238,0.797238990972978,0.266029431873827,2.99680747862174,0.00272822950086389,0.019001512664516,"ID3","3399"
"ENSG00000271975.1",776.347885417382,-0.640245647106419,0.213654246488632,-2.99664367841379,0.00272969570083601,0.0190075661268187,NA,NA
"ENSG00000140749.7",64.8118665166761,-1.07218047820257,0.357834793296711,-2.99630024326208,0.00273277217714797,0.0190248272538121,"IGSF6","10261"
"ENSG00000149792.4",3033.64023260491,0.377346829257426,0.125941546470154,2.99620609587204,0.00273361609818698,0.0190265417800351,"MRPL49","740"
"ENSG00000215838.4",4.16827690964737,-1.63431764625781,0.545489279103472,-2.99605823407539,0.00273494198656759,0.0190316094173477,"LOC440700","440700"
"ENSG00000113312.6",1813.06361118568,0.305091314667268,0.101843593172601,2.99568490430427,0.00273829227887533,0.019050758957665,"TTC1","7265"
"ENSG00000064199.2",253.59489122098,0.662904028060781,0.221305506565572,2.9954249144016,0.00274062766410175,0.0190628407940448,"SPA17","53340"
"ENSG00000256663.1",7.31694361934984,-2.24236994152494,0.7489597985441,-2.99397904384704,0.00275364857047911,0.0191492258387446,NA,NA
"ENSG00000159792.5",2207.3644275452,0.525727924247074,0.175604326530931,2.99382102157074,0.00275507507343679,0.0191549617903328,"PSKH1","5681"
"ENSG00000270120.1",5.60716255203148,-2.36340838935268,0.789485666286155,-2.99360519168191,0.00275702450948776,0.0191643301930245,NA,NA
"ENSG00000134297.6",112.425638354318,-0.909823378778093,0.303971075635034,-2.99312484543918,0.00276136765492008,0.0191903297668709,"PLEKHA8P1","51054"
"ENSG00000174928.11",607.729606821702,0.472168791992905,0.157771948755319,2.99272966910721,0.00276494540448934,0.0192109999775911,"C3orf33","285315"
"ENSG00000272529.1",65.2892846511858,-1.13098510415521,0.377936191973259,-2.99252923688037,0.00276676164608399,0.0192194247795614,NA,NA
"ENSG00000179038.7",5.39379283094147,-1.62752504857536,0.543884158889254,-2.99241120002312,0.00276783176156956,0.0192226640404294,NA,NA
"ENSG00000128699.9",4506.22034335028,-0.558126554104862,0.186528749185071,-2.99217443178745,0.00276997942886016,0.0192333838816122,"ORMDL1","94101"
"ENSG00000175455.10",5427.78283820111,-0.604334942854357,0.201993189544937,-2.99185801370749,0.00277285195697685,0.0192491310297242,"CCDC14","64770"
"ENSG00000230055.2",1465.2381276459,0.537725685932275,0.179785566669552,2.9909280032508,0.00278131059946248,0.0192999474512037,NA,NA
"ENSG00000176014.8",2900.64334317611,0.693235939217327,0.231780176807091,2.99091988265373,0.00278138456169502,0.0192999474512037,"TUBB6","84617"
"ENSG00000148408.8",117.120608458311,-1.30053856967481,0.434866739740101,-2.99066001334588,0.0027837523948485,0.0193115226516384,"CACNA1B","774"
"ENSG00000213416.3",1.99723765639366,-4.18189340680327,1.39834423052415,-2.99060368364072,0.00278426589304624,0.0193115226516384,"KRTAP4-12","83755"
"ENSG00000259907.1",1.71619269122198,-3.1681275495504,1.05939882873106,-2.99049561282334,0.00278525130231846,0.0193141495231127,NA,NA
"ENSG00000225693.1",11.3099429160126,-1.11341514916557,0.372390025122322,-2.98991668426092,0.00279053550340588,0.0193460246360128,NA,NA
"ENSG00000232767.1",8.25717616113947,1.5387387361196,0.514663311152536,2.98979682984154,0.00279163062431095,0.0193460246360128,"LOC105378499","105378499"
"ENSG00000255595.1",8.7068890481848,-2.14899984966475,0.718778949090701,-2.98979241445979,0.00279167097555731,0.0193460246360128,"LOC101927531","101927531"
"ENSG00000223965.2",1.13544200120687,-3.3176542708092,1.10974981535728,-2.98955154116524,0.00279387307334428,0.0193570714174077,NA,NA
"ENSG00000154760.9",2180.38493666712,-0.619143846820562,0.207112170814023,-2.98941314934371,0.00279513898843918,0.0193616285543842,"SLFN13","146857"
"ENSG00000235119.1",8.67661170876704,-1.36982226162799,0.458282701870914,-2.98903331073977,0.00279861618843686,0.0193787736810303,NA,NA
"ENSG00000100167.15",71.7711922420675,-0.986186133676683,0.329948390128867,-2.98891027560859,0.00279974334979093,0.0193787736810303,"SEPTIN3","55964"
"ENSG00000065325.8",66.8459992645123,1.6265346966272,0.544193417957381,2.98889079315285,0.00279992187236867,0.0193787736810303,"GLP2R","9340"
"ENSG00000133246.7",221.656178524852,-0.870286382621924,0.29117738978031,-2.98885288888174,0.00280026922840171,0.0193787736810303,"PRAM1","84106"
"ENSG00000185442.8",3088.06063557527,0.506717365043863,0.169538137008032,2.9888105059209,0.0028006576739044,0.0193787736810303,"FAM174B","400451"
"ENSG00000157399.10",11.8356671919394,1.04781696110211,0.350638751758761,2.98830906694251,0.00280525716586353,0.0194063813847091,"ARSL","415"
"ENSG00000231875.1",8.60395513417057,-1.44539404515184,0.483753412749553,-2.98787358819139,0.00280925722770851,0.0194298312190589,NA,NA
